subject no.,sex,age,height [m],weight [kg]
150,male,26,1.83,73.5
150,male,26,1.83,73.5
151,male,24,1.74,69.5
151,male,24,1.74,69.5
152,male,26,1.68,58.0
152,male,26,1.68,58.0
153,male,25,1.61,57.0
153,male,25,1.61,57.0
154,male,28,1.67,58.0
154,male,28,1.67,58.0
155,male,24,1.86,80.0
155,male,24,1.86,80.0
156,male,23,1.8,70.0
156,male,23,1.8,70.0
157,male,24,1.69,65.0
157,male,24,1.69,65.0
158,male,29,1.81,70.0
158,male,29,1.81,70.0
159,male,27,1.79,72.0
159,male,27,1.79,72.0
160,female,23,1.71,57.0
160,female,23,1.71,57.0
161,female,26,1.61,60.0
161,female,26,1.61,60.0
162,male,25,1.82,88.0
162,male,25,1.82,88.0
163,male,26,1.96,94.0
163,male,26,1.96,94.0
164,male,27,1.68,83.0
164,male,27,1.68,83.0
165,female,23,1.5,40.0
165,female,23,1.5,40.0
166,male,24,1.74,82.0
166,male,24,1.74,82.0
167,male,24,1.8,80.0
167,male,24,1.8,80.0
168,male,24,1.73,78.0
168,male,24,1.73,78.0
169,male,24,1.76,74.0
169,male,24,1.76,74.0
170,male,23,1.82,78.0
170,male,23,1.82,78.0
171,male,25,1.8,68.0
171,male,25,1.8,68.0
172,male,33,1.68,67.0
172,male,33,1.68,67.0
173,male,25,1.78,69.0
173,male,25,1.78,69.0
175,male,25,1.81,78.0
175,male,25,1.81,78.0
176,male,24,1.85,62.0
176,male,24,1.85,62.0
177,male,25,1.76,60.0
177,male,25,1.76,60.0
178,male,26,1.78,90.0
178,male,26,1.78,90.0
179,male,26,1.87,92.0
179,male,26,1.87,92.0
180,female,24,1.68,65.0
180,female,24,1.68,65.0
181,male,23,1.88,104.0
181,male,23,1.88,104.0
182,female,24,1.64,42.0
182,female,24,1.64,42.0
183,male,24,1.7,57.0
183,male,24,1.7,57.0
184,male,25,1.72,70.0
184,male,25,1.72,70.0
185,male,24,1.75,70.0
185,male,24,1.75,70.0
186,male,23,1.73,71.0
186,male,23,1.73,71.0
187,male,25,1.87,78.0
187,male,25,1.87,78.0
188,male,22,1.7,68.0
188,male,22,1.7,68.0
189,male,21,1.76,70.0
189,male,21,1.76,70.0
190,male,25,1.74,65.0
190,male,25,1.74,65.0
191,male,24,1.76,77.0
191,male,24,1.76,77.0
192,male,28,1.83,68.0
192,male,28,1.83,68.0
193,male,26,1.81,72.0
193,male,26,1.81,72.0
194,male,24,1.77,78.0
194,male,24,1.77,78.0
195,male,25,1.8,80.0
196,female,24,1.47,43.0
197,male,27,1.73,75.0
198,male,23,1.8,65.0
205,male,25,1.78,76.0
205,male,25,1.78,76.0
206,male,26,1.69,69.0
206,male,26,1.69,69.0
207,female,26,1.52,43.0
207,female,26,1.52,43.0
208,male,25,1.7,80.0
208,male,25,1.7,80.0
209,male,24,1.63,65.0
209,male,24,1.63,65.0
210,male,24,1.73,86.0
210,male,24,1.73,86.0
211,male,24,1.67,64.0
211,male,24,1.67,64.0
212,male,27,1.75,70.0
212,male,27,1.75,70.0
213,male,24,1.73,87.0
213,male,24,1.73,87.0
214,male,24,1.8,68.0
214,male,24,1.8,68.0
215,male,28,1.56,69.0
215,male,28,1.56,69.0
216,male,23,1.73,61.0
216,male,23,1.73,61.0
217,male,24,1.65,61.0
217,male,24,1.65,61.0
218,male,24,1.78,70.0
218,male,24,1.78,70.0
219,male,29,1.73,97.0
219,male,29,1.73,97.0
225,female,23,1.72,45.0
225,female,23,1.72,45.0
226,male,22,1.83,80.0
226,male,22,1.83,80.0
227,female,28,1.69,61.5
227,female,28,1.69,61.5
230,male,24,1.78,75.8
230,male,24,1.78,75.8
231,male,25,1.87,98.0
231,male,25,1.87,98.0
232,male,30,1.77,73.0
232,male,30,1.77,73.0
233,male,24,1.82,80.0
233,male,24,1.82,80.0
234,male,29,1.83,75.0
234,male,29,1.83,75.0
235,male,23,1.79,69.0
235,male,23,1.79,69.0
236,male,25,1.76,68.0
236,male,25,1.76,68.0
237,male,25,1.65,71.0
237,male,25,1.65,71.0
238,male,25,1.82,75.0
238,male,25,1.82,75.0
240,female,22,1.66,60.0
240,female,22,1.66,60.0
241,male,26,1.8,80.0
241,male,26,1.8,80.0
242,male,30,1.87,90.0
242,male,30,1.87,90.0
243,female,23,1.62,48.0
243,female,23,1.62,48.0
244,male,22,1.75,74.0
244,male,22,1.75,74.0
245,male,25,1.9,97.0
245,male,25,1.9,97.0
246,male,28,1.85,82.0
246,male,28,1.85,82.0
247,male,23,1.87,79.0
247,male,23,1.87,79.0
248,male,24,1.9,95.0
248,male,24,1.9,95.0
249,male,28,1.8,92.0
249,male,28,1.8,92.0
250,male,24,1.76,60.0
250,male,24,1.76,60.0
251,male,24,1.78,80.0
251,male,24,1.78,80.0
252,male,25,1.66,62.0
252,male,25,1.66,62.0
253,male,26,1.73,75.0
253,male,26,1.73,75.0
254,male,25,1.8,72.0
254,male,25,1.8,72.0
255,male,24,1.85,68.0
255,male,24,1.85,68.0
256,male,24,1.8,115.0
256,male,24,1.8,115.0
257,male,24,1.74,65.0
257,male,24,1.74,65.0
258,female,24,1.6,60.0
258,female,24,1.6,60.0
259,male,24,1.73,65.0
259,male,24,1.73,65.0
260,male,27,1.83,83.0
260,male,27,1.83,83.0
261,male,23,1.81,78.0
261,male,23,1.81,78.0
262,male,23,1.84,76.0
262,male,23,1.84,76.0
263,male,23,1.81,86.0
263,male,23,1.81,86.0
264,male,26,1.92,85.0
264,male,26,1.92,85.0
265,male,27,1.75,83.0
265,male,27,1.75,83.0
266,male,25,1.77,64.0
266,male,25,1.77,64.0
267,male,24,1.7,62.0
267,male,24,1.7,62.0
268,female,21,1.64,75.0
268,female,21,1.64,75.0
270,male,23,1.94,70.0
270,male,23,1.94,70.0
271,female,24,1.69,67.0
271,female,24,1.69,67.0
272,male,26,1.76,68.0
272,male,26,1.76,68.0
273,female,26,1.65,60.0
273,female,26,1.65,60.0
274,female,33,1.55,78.0
274,female,33,1.55,78.0
